file|name|version|package|confidence|size_mb|methods_used
1003 v1.0.ipa|bulletecho|7.4.0|com.zeptolab.bulletecho-enterprise|3|186.42|main_plist, plutil, alt_plist_2, alt_plist_3, alt_plist_4
1005 v1.0.ipa|bulletecho|7.4.0|com.zeptolab.bulletecho-enterprise|3|186.42|main_plist, plutil, alt_plist_2, alt_plist_3, alt_plist_4
1010 v1.0.ipa|Motor Clash|0.1.0|com.zeptolab.motor-clash|4|28.2|main_plist, plutil, alt_plist_2
1014 v1.0.ipa|Fortress Pop|1.0.0|com.zeptolab.fortresspop|4|60.32|main_plist, plutil, alt_plist_2, alt_plist_3
1013 v1.0.ipa|bulletecho|7.4.0|com.zeptolab.bulletecho-enterprise|3|170.98|main_plist, plutil, alt_plist_2, alt_plist_3
1018 v1.0.ipa|Idle Tiny Hunters|0.2.2|com.zeptolab.idlerpg|4|52.67|main_plist, plutil, alt_plist_2, alt_plist_3
1020 v1.0.ipa|bulletecho|7.4.0|com.zeptolab.bulletecho-enterprise|3|167.02|main_plist, plutil, alt_plist_2, alt_plist_3
1006.apk|Bullet Echo|7.4.0|com.zeptolab.bulletecho.google.beta|3|422.52|aapt, aapt_resources, manifest
1035 v1.0.ipa|Gear Drop Heroes|0.0.1|com.zeptolab.gdhero|4|70.11|main_plist, plutil, alt_plist_2
1050 v1.0.ipa|Noodle Out|0.1.0|com.zeptolab.dragmeout|4|50.32|main_plist, plutil, alt_plist_2, alt_plist_3
1052 v1.0.ipa|Noodle Out|0.1.0|com.zeptolab.dragmeout|4|50.33|main_plist, plutil, alt_plist_2, alt_plist_3
1012.apk|Bullet Echo|7.4.0|com.zeptolab.bulletecho.google.beta|3|467.51|aapt, aapt_resources, manifest
1021 v1.0.apk|bulletecho|i have|no fucking clue -cv|0|167.01|aapt, aapt_resources, manifest
1055 v1.0.ipa|Neon Merge Guards|0.1.1|com.zeptolab.circledefender|4|73.46|main_plist, plutil, alt_plist_2
1053.apk|Noodle Out|0.1.0|com.zeptolab.dragmeout|3|88.04|aapt, aapt_resources, manifest
1078 v1.0.ipa|bulletecho|7.6.0|com.zeptolab.bulletecho-enterprise|3|167.67|main_plist, plutil, alt_plist_2, alt_plist_3, alt_plist_4
1071.apk|Place Your People|1.0.0|com.zeptolab.placeyourpeople|3|164.84|aapt, aapt_resources, manifest
