file|name|package|version|size_mb|confidence
Bullet Echo v7.4.0.apk|Bullet Echo|com.zeptolab.bulletecho.google.beta|7.4.0|422.52|3
Bullet Echo v7.4.0 (1).apk|Bullet Echo|com.zeptolab.bulletecho.google.beta|7.4.0|467.51|3
1021 v1.0.apk||||167.01|0
Bullet Echo v7.4.0 (2).apk|Bullet Echo|com.zeptolab.bulletecho.google.beta|7.4.0|418.64|3
Place Your People v1.0.0.apk|Place Your People|com.zeptolab.placeyourpeople|1.0.0|167.46|3
Noodle Out v0.1.0.apk|Noodle Out|com.zeptolab.dragmeout|0.1.0|88.04|3
Place Your People v1.0.0 (2).apk|Place Your People|com.zeptolab.placeyourpeople|1.0.0|164.84|3
HappyCouchBurglars v1.0.0.apk|HappyCouchBurglars|com.zeptolab.happycouchburglars|1.0.0|139.43|3
Bullet Echo v7.6.0.apk|Bullet Echo|com.zeptolab.bulletecho.google.beta|7.6.0|428.27|3
Bullet Echo v7.6.0 (1).apk|Bullet Echo|com.zeptolab.bulletecho.google.beta|7.6.0|428.27|3
Fantasy Miner v1.0.0.apk|Fantasy Miner|com.zeptolab.fantasyminer|1.0.0|38.62|3
Overcrowded Dungeons v1.0.0.apk|Overcrowded Dungeons|com.zeptolab.overcrowdeddungeons|1.0.0|43.07|3
Idle Racing v1.0.0.apk|Idle Racing|com.zeptolab.idleracing|1.0.0|42.14|3
Overcrowded Dungeons v1.0.0 (1).apk|Overcrowded Dungeons|com.zeptolab.overcrowdeddungeons|1.0.0|42.92|3
Idle Art v1.0.0.apk|Idle Art|com.zeptolab.idleart|1.0.0|137.3|3
Space Litter v1.0.0.apk|Space Litter|com.zeptolab.spacelitter|1.0.0|37.0|3
Space Litter v1.0.0 (3).apk|Space Litter|com.zeptolab.spacelitter|1.0.0|51.38|3
Space Litter v1.0.0 (5).apk|Space Litter|com.zeptolab.spacelitter|1.0.0|51.84|3
draw-the-rope v1.0.apk|draw-the-rope|com.zeptolab.drawtherope|1.0|21.26|3
Space Litter v1.0.0 (6).apk|Space Litter|com.zeptolab.spacelitter|1.0.0|46.49|3
Cowboy Valley v0.27.0.apk|Cowboy Valley|com.pantelisdev.cowboyvalley|0.27.0|181.69|3
OmNomFarm v0.1.11.apk|OmNomFarm|com.DefaultCompany.OmNomFarm|0.1.11|72.06|3
Cowboy Valley v0.27.0 (1).apk|Cowboy Valley|com.pantelisdev.cowboyvalley|0.27.0|181.69|3
